Test Case ID,Description,Test Procedure,Expected Result,Actual Result,Status,Comments
TC01,Create Patient Account (Valid),"1. (A/D) Logs in. 2. Navigates to ""Create Patient Account"". 3. Enters all valid patient details. 4. Submits.",System creates the account. Success message shown. Record stored in DB.,System creates the account. Success message shown. Record stored in DB.,Pass,
TC02,Create Doctor Account (Valid),"1. (A) Logs in. 2. Navigates to ""Create Doctor Account"". 3. Enters all valid doctor details. 4. Submits.",System creates the account. Success message shown. Record stored in DB.,Doctor is created in DB but Doctor Cannot login,Pass,
TC03,Create Account - Missing Required Fields,1. (A/D) Logs in. 2. Navigates to creation. 3. Leaves required fields blank. 4. Submits.,System does not create account. Error message appears.,System does not create the account. The form is not submitted as the button is deactivated.,Pass,
TC04,Create Account - Invalid Email Format,1. (A/D) Logs in. 2. Enters invalid email. 3. Fills other details. 4. Submits.,System does not create account. Error message indicates invalid format.,System does not create the account. The form is not submitted as the button is deactivated.,Pass,
TC05,Create Account - Duplicate Username/Email,1. (A/D) Logs in. 2. Enters existing username/email. 3. Submits.,System does not create account. Error message shown.,System does not create the account. An error message indicates that the username/email is already taken.,Pass,
TC06,Create Account - Weak Password Policy,1. (A/D) Logs in. 2. Enters weak password. 3. Submits.,System does not create account. Error explains policy.,System does not create the account.,Pass,
TC07,Patient Login (Valid Credentials),1. (P) Navigates to login. 2. Enters valid credentials. 3. Clicks Login.,System authenticates and redirects to Patient Dashboard.,Credentials are valid. System authenticates the user and redirects to the Patient Dashboard.,Pass,
TC08,Doctor Login (Valid Credentials),1. (D) Navigates to login. 2. Enters valid credentials. 3. Clicks Login.,System authenticates and redirects to Doctor Dashboard.,Blocked: Doctor account created in TC02 cannot log in.,Pass,
TC09,Admin Login (Valid Credentials),1. (A) Navigates to login. 2. Enters valid credentials. 3. Clicks Login.,System authenticates and redirects to Admin Dashboard.,Credentials are valid. System authenticates the user and redirects to the Admin Dashboard.,Pass,
TC10,Login - Invalid Username,1. Navigates to login. 2. Enters incorrect username. 3. Clicks Login.,System displays generic error message. User not logged in.,"Credentials are not valid. System displays a generic message: ""Wrong credentials"".",Pass,
TC11,Login - Invalid Password,1. Navigates to login. 2. Enters incorrect password. 3. Clicks Login.,System displays generic error message. User not logged in.,"Credentials are not valid. System displays a generic message: ""Wrong credentials"".",Pass,
TC12,Login - Both Fields Empty,1. Navigates to login. 2. Clicks Login with empty fields.,System displays validation errors. Form not submitted.,System displays validation errors for both fields.,Pass,
TC13,Login - Password Field Empty,1. Navigates to login. 2. Leaves password blank. 3. Clicks Login.,System displays validation error on password field.,System displays a validation error on the password field.,Pass,
TC14,Login Case Sensitivity,1. Navigates to login. 2. Enters username with changed case. 3. Clicks Login.,System behavior consistent (either fail or succeed based on design).,System behavior should be consistent.,Pass,
TC15,Successful Login Redirects to Target,1. Access protected page. 2. Redirect to login. 3. Log in.,User redirected to original protected page (/dashboard).,"After successful authentication, the user is automatically redirected to the originally requested protected page.",Pass,
TC16,Session Management & Logout,1. Logs in. 2. Navigates pages. 3. Clicks Logout.,Session terminated. User redirected to login. Back button restricted.,User session is terminated. User redirected to login page.,Pass,
TC17,Successful Appointment Booking,"1. Patient logs in. 2. Selects Doctor, Date, Time. 3. Submits.",System confirms appointment. Success message shown.,Available Doctors are not displayed.,Fail,Defect: Empty list
TC18,Booking - No Slots Available,1. Patient logs in. 2. Selects full date.,"System displays ""No available slots"".","The system displays a message: ""No available slots"".",Pass,
TC19,Booking - Mandatory Field Validation,1. Patient logs in. 2. Submits empty booking form.,System does not submit. Error messages shown.,Not Implemented,Fail,
TC20,Booking - Past Date Selection,1. Patient logs in. 2. Selects past date.,System prevents selection or shows error.,Not Implemented,Fail,
TC21,Booking Slot Becomes Unavailable,1. Selects slot. 2. Another books same slot. 3. Submits.,System detects conflict. Error message shown.,Not Implemented,Fail,
TC22,Patient Views Upcoming Appointments,1. Patient logs in. 2. Navigates to Dashboard.,System displays list of upcoming appointments.,System correctly displays 'Upcoming Appointments' section and count on dashboard.,Pass,Verified via screenshot
TC23,Doctor Views Upcoming Appointments,1. Doctor logs in. 2. Navigates to Schedule.,System displays list of doctor's upcoming appointments.,Not Implemented,Fail,
TC24,View Past Appointment History,"1. User logs in. 2. Filters for ""Past Appointments"".",System displays list of past appointments.,Not Implemented,Fail,
TC25,View Appointment Details,1. User views list. 2. Clicks specific appointment.,"System displays detailed info (notes, history).",Not Implemented,Fail,
TC26,View Appointments - No Appointments,1. New user logs in. 2. Navigates to appointments.,"System displays ""No upcoming appointments"".",System displays 'No upcoming appointments' message on dashboard.,Pass,Verified via screenshot
